age,gender,security_no,region_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_session_duration,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn,plan_tier,logins_90d,active_days_90d,api_calls_90d,session_minutes_90d,days_since_active,email,phone_number
27,M,616BGCG,City,18-10-2017,Yes,CID24003,Gift Vouchers/Coupons,?,Fiber_Optic,20:31:59,6,1047.01,16339.53,22,745.45,Yes,No,No,Not Applicable,Too many ads,0,Enterprise,35,26,8622,578.76,0,hendrapertiwi22845@gmail.com,0822119264
36,F,LPMEKDU,Town,13-03-2017,Yes,CID13740,Gift Vouchers/Coupons,Desktop,Fiber_Optic,2:45:55,8,1321.356828,18631.43,Error,788.36,No,Yes,No,Not Applicable,Poor Customer Service,0,Pro,39,27,2184,951.08,1,jokogunawan40979@yahoo.com,088245218546
14,F,FZVWC49,Town,22-07-2017,No,xxxxxxxx,Without Offers,Both,Wi-Fi,6:40:42,9,235.09,27386.03,27,745.44,No,Yes,No,Not Applicable,Poor Product Quality,0,Enterprise,50,37,7672,786.42,0,wulanwahyudi16737@yahoo.com,0882379582
38,F,YQ1GKMK,Town,13-08-2017,Yes,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,1:53:45,11,71.63,3960.93,6,561.15,No,Yes,Yes,No Information Available,No reason specified,1,Basic,11,9,389,206.09,7,peterfauzi79856@gmail.com,0881276793222
13,F,PQ3WOBR,Village,14-12-2015,?,CID14128,Without Offers,Smartphone,Wi-Fi,0:02:59,5,32.95,5666.75,10,764.45,No,Yes,Yes,No Information Available,Quality Customer Care,0,Enterprise,23,21,11243,415.45,0,lukmanwati13474@yahoo.com,0822078363952
33,M,C3AK5UH,Town,16-08-2016,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,23:44:00,-999,438.11,31721.61,5,731.84,Yes,No,No,Not Applicable,Poor Customer Service,0,Enterprise,21,19,8049,235.79,0,annautama73020@yahoo.com,085366408947
64,M,TC9PXMB,City,22-01-2015,Yes,CID42462,Without Offers,?,Wi-Fi,2:49:33,23,68.9,33038.9,14,690.41,No,Yes,No,Not Applicable,Poor Product Quality,1,Basic,14,12,241,298.41,6,annaputri27199@yahoo.com,085816607321
58,M,E90MKOK,Town,25-08-2016,Yes,CID53032,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,5:23:19,-999,-953.3426762,15717.81,5,360.753454,Yes,No,No,Not Applicable,Poor Product Quality,1,Basic,9,9,262,99.03,18,tarisari86942@gmail.com,08535118803
35,M,S4HET91,Town,03-04-2016,Yes,CID11323,Gift Vouchers/Coupons,Smartphone,Mobile_Data,20:33:02,3,556.14,38297.66,26,667.8,No,Yes,Yes,Unsolved,Poor Product Quality,1,Basic,11,11,286,174.45,11,harikartika58039@gmail.com,0882831251
47,F,411XE79,,11-01-2016,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,5:06:02,12,31.38,8220.84,10,824.59,Yes,No,Yes,No Information Available,Quality Customer Care,0,Enterprise,37,32,6783,836.97,0,fajartaylor34704@yahoo.com,0812072616
47,F,58O6MVS,City,08-11-2017,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,3:25:29,4,111.08,27926.29,11,783.98,No,Yes,No,Not Applicable,Poor Website,0,Pro,34,27,2333,711.9300000000001,0,sitikurnia56836@yahoo.com,08828758646
58,F,ZLJOS7D,Town,25-08-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,14:07:47,-999,202.0,20692.37,14,289.9636606,Yes,No,No,Not Applicable,Too many ads,0,Pro,19,19,2757,339.48,2,nandajohnson560@gmail.com,085254950693
26,M,05IJ74W,City,31-05-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11:18:18,4,31.04,17673.74,22,725.94,No,Yes,No,Not Applicable,Poor Website,0,Enterprise,33,29,14795,617.12,0,megawibowo21030@yahoo.com,0813748360446
59,M,IDF7HHY,Town,22-10-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,16:09:44,22,169.87,39389.64,8,62.38917055,No,Yes,Yes,No Information Available,Poor Product Quality,1,Basic,8,8,247,281.23,8,megasusanti86076@yahoo.com,08139105174
62,F,082VH2M,City,24-11-2015,Yes,CID50447,Gift Vouchers/Coupons,Smartphone,Mobile_Data,18:48:26,13,655.84,31393.62,9,789.78,Yes,No,No,Not Applicable,Poor Website,0,Enterprise,48,34,13327,1066.22,1,hendraanggraini95331@gmail.com,087887501297
53,M,G5FRT4F,City,17-04-2015,No,xxxxxxxx,Without Offers,?,Mobile_Data,8:30:04,9,116.83,62961.95,Error,1305.874285,Yes,No,Yes,No Information Available,User Friendly Website,0,Enterprise,41,32,10678,635.9,4,sitiprasetyo59866@gmail.com,0857295657409
20,M,Y1Z3Q3O,City,10-01-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,2:32:45,10,148.23,37026.87,25,1145.598503,No,Yes,Yes,No Information Available,Too many ads,0,Enterprise,40,35,7410,903.16,7,hendrafauzi71823@yahoo.com,085353419493
33,F,KX4MWOC,Town,30-07-2015,Yes,CID9086,Without Offers,Smartphone,Fiber_Optic,3:15:46,18,297.22,31623.15,Error,533.67,No,Yes,Yes,Solved in Follow-up,Poor Website,0,Basic,11,10,470,268.66,0,yogakusuma40123@yahoo.com,081107690242
38,F,JN6ZABR,Town,10-06-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,22:43:54,16,-982.9949474,29629.89,12,614.23,No,Yes,No,Not Applicable,Too many ads,1,Basic,5,5,344,68.57,20,indralestari57234@gmail.com,088231444354
15,F,XJIP48T,City,28-04-2016,Yes,CID4278,Gift Vouchers/Coupons,Desktop,Wi-Fi,1:46:46,-999,46.46,12679.6,12,596.21,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,1,Basic,18,15,316,340.0,2,ariwilliams57134@yahoo.com,08139359459
44,M,LBNRQKK,Town,15-11-2017,?,CID33207,Credit/Debit Card Offers,Desktop,Wi-Fi,8:17:34,15,335.74,20046.09,Error,577.27,No,Yes,No,Not Applicable,Poor Website,1,Basic,14,14,440,188.71,2,emmagarcia92666@yahoo.com,082174729876
40,M,2E0EJSH,Village,16-06-2017,?,CID2044,Credit/Debit Card Offers,Desktop,Fiber_Optic,4:23:15,5,885.14,11788.78,5,795.36,Yes,Yes,No,Not Applicable,Reasonable Price,0,Enterprise,31,28,9427,442.91,0,indahsusanti84509@gmail.com,082265067746
28,F,RBMHMG3,Town,28-12-2017,Yes,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,1:27:32,17,32.73,39941.56,28,569.69,Yes,No,Yes,No Information Available,No reason specified,1,Basic,17,16,344,420.96,0,juliajackson85924@gmail.com,0896044414
46,F,K04E7UB,Town,28-02-2015,?,CID41929,Credit/Debit Card Offers,Smartphone,Mobile_Data,11:05:59,7,988.7317592,47759.37,25,707.43,Yes,No,No,Not Applicable,Poor Product Quality,0,Enterprise,34,30,10354,830.41,0,lisajackson89095@gmail.com,0811635266987
56,M,8LRPRHX,Village,21-11-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,4:25:51,23,98.21,8326.81,29,900.2147628,Yes,No,No,Not Applicable,No reason specified,1,Basic,12,10,297,226.63,6,chrisdavis89438@gmail.com,0895536494740
33,F,26KK0OK,City,12-04-2015,Yes,CID32715,Gift Vouchers/Coupons,Both,Fiber_Optic,0:54:23,10,-283.5094783,1342.94,20,465.0401094,Yes,Yes,No,Not Applicable,No reason specified,0,Enterprise,39,31,10170,1000.45,4,megarodriguez46941@yahoo.com,08950816461
55,M,O5R4J27,Town,12-10-2017,Yes,CID39664,Credit/Debit Card Offers,Smartphone,Fiber_Optic,23:22:21,17,1534.583308,37797.6,Error,725.15,Yes,Yes,Yes,Solved in Follow-up,Products always in Stock,0,Enterprise,36,31,11048,601.14,0,lisajones35800@yahoo.com,087751761497
51,Unknown,1FZ9LXL,Village,23-03-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,14:07:01,18,39.72,9715.89,16,783.14,No,Yes,No,Not Applicable,Poor Product Quality,0,Pro,30,26,1870,730.15,6,linakartika4131@gmail.com,08772672184
24,F,OG9GTXD,Village,13-10-2017,?,CID32854,Gift Vouchers/Coupons,Desktop,Wi-Fi,11:05:57,-999,268.28,2222.1,18,772.81,Yes,No,No,Not Applicable,Too many ads,0,Enterprise,42,31,8227,1337.97,0,dewiprasetyo77079@yahoo.com,0896206774573
32,M,2YWJVAF,Town,11-06-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,2:32:53,-999,86.68,12340.94,5,718.41,No,Yes,Yes,No Information Available,Too many ads,1,Pro,25,22,1588,412.08,1,diansyahputra32982@yahoo.com,0882320178
33,M,HDWSNTA,City,23-06-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,17:52:00,4,304.27,31343.05,27,715.92,Yes,No,Yes,Solved in Follow-up,No reason specified,0,Enterprise,48,35,12467,1217.71,0,ninafirmansyah8457@gmail.com,0878348561265
22,F,AF9TMAL,Town,24-10-2015,Yes,CID18597,Without Offers,Both,Mobile_Data,10:17:40,2,1070.98,28488.62,22,610.72,No,Yes,Yes,Solved,Poor Customer Service,1,Basic,11,11,392,134.71,3,indahmartin6134@yahoo.com,0822350125
10,F,TFL1YBU,Town,15-01-2016,Yes,CID31554,Gift Vouchers/Coupons,Both,Mobile_Data,11:43:09,2,684.29,39617.81,19,619.36,Yes,Yes,Yes,Unsolved,No reason specified,1,Pro,23,18,2692,291.41,5,aguskartika72850@yahoo.com,08965289561
15,M,RQA49ZJ,Village,15-08-2017,Yes,CID32126,Credit/Debit Card Offers,?,Fiber_Optic,16:01:11,8,772.28,7800.43,29,1079.087009,Yes,Yes,Yes,Solved,Poor Product Quality,0,Basic,9,9,306,238.93,20,dwigonzalez35323@gmail.com,08227039959
48,F,E6MKD2X,Village,04-09-2016,Yes,CID63207,Gift Vouchers/Coupons,Desktop,Fiber_Optic,20:08:10,15,575.24,38636.42,10,756.06,Yes,Yes,Yes,No Information Available,No reason specified,0,Pro,24,24,1495,443.4,5,tariwijaya5981@gmail.com,08125750835
45,M,B92H1E4,Town,07-04-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,5:02:49,6,1191.829059,8113.87,-17.07762543,720.96,No,Yes,Yes,No Information Available,Too many ads,0,Pro,35,31,1961,867.89,2,laurahernandez72511@yahoo.com,0811137902704
43,F,2TFTIHC,Town,17-02-2016,Yes,CID30274,Without Offers,Smartphone,Mobile_Data,1:08:10,20,1029.372541,15994.36,6,776.37,No,Yes,No,Not Applicable,Poor Product Quality,0,Pro,24,21,1701,412.52,14,dianjones44135@yahoo.com,0811968358
30,F,TSRLWD5,City,24-04-2017,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,22:24:31,11,61.56,43724.84,7,710.77,No,Yes,Yes,Solved in Follow-up,No reason specified,0,Pro,33,26,2762,799.38,7,indahkurnia49913@yahoo.com,089605103283
41,M,TWA8MYX,Town,11-10-2016,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,11:33:21,13,170.75,39638.76,7,707.63,Yes,No,No,Not Applicable,Poor Customer Service,0,Pro,28,23,2674,692.06,4,wulanramadhan21511@yahoo.com,0857507682
16,F,2M0K1RO,Village,06-06-2016,Yes,CID1541,Without Offers,Smartphone,Wi-Fi,16:32:46,20,118.04,5520.23,Error,640.57,Yes,No,Yes,No Information Available,No reason specified,0,Basic,10,8,342,211.74,23,jamesnovita245@yahoo.com,08571766507
16,M,KYJWRT9,City,22-04-2017,No,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,6:55:44,14,283.72,29016.66,9,780.43,Yes,Yes,Yes,Unsolved,Too many ads,0,Enterprise,33,28,12167,574.11,2,yuniastuti99039@yahoo.com,0813248793814
57,M,A5OYH1G,City,28-03-2015,Yes,CID37242,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,21:26:40,16,808.47,42855.54,Error,,Yes,No,No,Not Applicable,Products always in Stock,0,Pro,26,21,1654,454.47,4,michaelrahayu68699@yahoo.com,0881039311
62,M,X788WSQ,Town,03-12-2017,Yes,CID13156,Without Offers,Both,Wi-Fi,16:42:04,11,276.8,30197.91,9,608.15,Yes,No,Yes,Unsolved,Poor Customer Service,1,Basic,4,4,273,90.95,5,indrawahyudi20674@yahoo.com,088265123498
16,M,XCWV8NI,,14-03-2015,?,CID38977,Credit/Debit Card Offers,Both,Fiber_Optic,7:54:04,22,270.91,36753.44,8,717.86,Yes,Yes,Yes,No Information Available,No reason specified,0,Enterprise,36,30,8556,659.17,6,mariakusuma88934@gmail.com,0811868129185
17,M,GYGLY36,City,01-10-2015,Yes,CID44363,Without Offers,Desktop,Wi-Fi,10:28:27,8,34.79,45500.28,10,-127.133692,No,Yes,Yes,Unsolved,Poor Product Quality,0,Pro,20,18,1497,287.72,3,lisamahendra17530@gmail.com,0853720806
34,M,M2W61GV,Town,15-02-2016,Yes,CID17839,Credit/Debit Card Offers,Both,Fiber_Optic,20:41:47,17,660.16,30561.12,5,,Yes,No,No,Not Applicable,Poor Customer Service,1,Basic,14,14,318,359.88,5,mariawulandari52831@gmail.com,089516048033
61,M,AFIWDUP,Town,15-03-2017,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,0:53:20,14,59.87,26542.7,5,620.67,No,Yes,No,Not Applicable,Too many ads,1,Pro,38,30,1938,897.51,1,juliahernandez35560@yahoo.com,08220622451
64,F,O2O3EAX,Village,02-12-2016,Yes,CID46029,Credit/Debit Card Offers,Smartphone,Fiber_Optic,23:56:28,-999,31.81,33274.16,7,660.55,No,Yes,Yes,Solved in Follow-up,No reason specified,1,Basic,15,14,247,379.69,0,budimelati9367@gmail.com,0812656937050
48,M,M948SYS,Town,27-02-2016,Yes,CID62568,Gift Vouchers/Coupons,?,Fiber_Optic,13:11:50,5,1074.67,46711.72,24,768.4,Yes,Yes,Yes,Solved in Follow-up,Poor Customer Service,0,Pro,14,14,1657,193.82,5,emmariyadi78720@gmail.com,08780479661
13,F,KPSY6BJ,Village,20-01-2016,No,xxxxxxxx,Credit/Debit Card Offers,Both,Mobile_Data,6:30:53,14,329.99,16511.41,9,613.77,Yes,No,Yes,Unsolved,Poor Product Quality,1,Pro,27,24,1820,504.34,2,agusnovita52797@yahoo.com,081266129042
24,F,9RJZFBT,City,12-01-2015,Yes,CID60028,Without Offers,Desktop,Wi-Fi,20:16:27,14,522.65,20273.54,22,,Yes,No,Yes,Solved in Follow-up,Poor Website,0,Pro,28,22,2331,549.99,0,sitimartin96938@yahoo.com,0853499248819
20,F,URVN2D0,City,16-10-2017,Yes,CID61558,Credit/Debit Card Offers,Smartphone,Fiber_Optic,16:50:06,13,78.36,43498.44,-1.769487495,786.64,Yes,No,Yes,No Information Available,Poor Website,0,Pro,40,33,2012,987.15,3,ranisusanti73519@yahoo.com,08813412512
37,M,KM7FI2S,City,22-06-2017,Yes,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,8:59:13,11,822.35,40137.89,19,905.4400933,No,Yes,No,Not Applicable,No reason specified,1,Pro,32,28,2023,956.98,1,peterwijaya32722@gmail.com,0857559679
38,F,LKKMSPD,,12-08-2016,Yes,CID8347,Credit/Debit Card Offers,Desktop,Mobile_Data,1:45:05,11,308.7,47764.44,21,744.26,Yes,No,Yes,Solved in Follow-up,Too many ads,0,Pro,30,24,1678,651.6800000000001,0,ayumahendra10965@yahoo.com,087886311942
40,F,61Q8WX2,Town,25-03-2016,Yes,CID57867,Credit/Debit Card Offers,?,Wi-Fi,2:12:24,14,155.4,6415.43,7,500.48,Yes,No,Yes,Solved,Poor Product Quality,1,Basic,17,14,230,412.6,2,andisantoso47022@yahoo.com,087826119124
52,F,39Z45SN,,14-11-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,22:38:18,10,374.77,14000.24,22,536.6,Yes,No,No,Not Applicable,Poor Customer Service,1,Basic,12,11,401,177.72,9,nitahandayani82345@gmail.com,0853541390
60,M,9NM3UGV,City,29-11-2017,No,xxxxxxxx,Without Offers,?,Mobile_Data,16:14:27,9,459.62,33631.55,10,609.16,Yes,No,Yes,No Information Available,Poor Website,1,Pro,25,22,2404,502.14,0,indrautama17088@gmail.com,0821045380
23,M,5SKAZ28,Town,17-03-2017,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,14:58:01,16,183.38,8959.24,29,,No,Yes,Yes,No Information Available,Too many ads,1,Basic,10,9,419,217.59,15,linathomas35332@yahoo.com,0878274402610
15,M,2UR9JB5,City,04-07-2015,Yes,CID51007,Without Offers,?,Mobile_Data,2:24:08,11,1257.234861,22336.49,15,611.35,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,1,Basic,15,14,478,360.67,0,sitirahayu49610@gmail.com,0821693859243
53,M,7GZ6BSO,City,16-09-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,11:18:25,9,266.89,44960.22,15,1352.064721,Yes,No,Yes,Solved,Products always in Stock,0,Pro,23,20,1280,490.77,1,stevemartin83947@yahoo.com,0852168022
58,F,AKT7VQQ,Town,26-06-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,19:56:42,22,33.47,4823.82,13,785.44,Yes,No,Yes,Unsolved,Quality Customer Care,0,Enterprise,27,22,14650,514.9,7,ekoanggraini27181@yahoo.com,0877069744396
10,M,NNTPEND,City,30-07-2017,Yes,CID46907,Without Offers,Desktop,Fiber_Optic,11:53:56,20,216.45,2678.79,6,625.45,No,Yes,Yes,Solved,Poor Customer Service,1,Basic,14,13,227,378.15,3,steveriyadi45272@yahoo.com,0877819035637
36,F,FVGEZ1V,Town,13-08-2016,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,11:41:04,9,134.83,16006.35,3,,No,Yes,Yes,Unsolved,Products always in Stock,0,Enterprise,50,36,7978,1203.2,0,annataylor97642@yahoo.com,088189008184
30,F,V1L05TW,City,30-11-2016,Yes,CID18338,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,10:12:12,6,198.43,13746.94,22,653.42,No,Yes,No,Not Applicable,No reason specified,1,Basic,8,8,217,105.81,19,sitiwilson82774@gmail.com,0857521862205
20,F,DEVIITN,Town,19-02-2017,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,6:24:44,12,452.27,48150.21,17,554.76,Yes,No,No,Not Applicable,Poor Product Quality,1,Basic,5,5,364,75.93,15,lisaprasetyo18124@yahoo.com,08523570362
26,F,K803K1Z,Town,22-09-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,22:28:32,11,202.93,23425.7,Error,709.79,Yes,Yes,Yes,Unsolved,User Friendly Website,0,Enterprise,28,25,11179,541.61,1,laurakartika67698@gmail.com,087731173447
46,F,SMHSCO5,Town,14-09-2016,Yes,CID32489,Gift Vouchers/Coupons,?,Wi-Fi,6:17:02,-999,80.36,8606.73,28,612.36,Yes,No,No,Not Applicable,No reason specified,1,Basic,13,11,231,235.94,1,chrislopez49421@gmail.com,0895395716268
22,M,KG98LXJ,Village,17-08-2017,?,CID58740,Without Offers,Smartphone,Wi-Fi,23:02:58,17,246.68,3800.51,9,,Yes,Yes,Yes,Solved in Follow-up,Poor Website,1,Basic,17,15,325,451.81,18,robertyanti88944@yahoo.com,08125842970
16,F,T3ECUR2,,19-11-2017,Yes,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,9:09:14,5,56.2,13737.67,Error,731.55,Yes,No,No,Not Applicable,No reason specified,0,Pro,34,26,1444,709.94,1,danielramadhan33938@yahoo.com,08121199650
60,F,YGR6Y01,City,03-05-2016,Yes,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,13:29:37,-999,33.48,31457.52,13,697.06,No,Yes,Yes,No Information Available,Poor Customer Service,1,Pro,43,35,1736,1231.21,0,sintakartika12116@yahoo.com,0853993138
28,F,GQHCTBA,City,05-05-2016,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,9:00:27,18,215.8,96362.91,Error,838.88,Yes,No,No,Not Applicable,Reasonable Price,0,Enterprise,31,26,10513,547.9,1,lukmanpratama59355@yahoo.com,08772765627
38,M,LAKKBZW,Town,06-11-2016,?,CID16931,Without Offers,?,Wi-Fi,8:05:11,2,459.14,28833.45,20,,No,Yes,No,Not Applicable,Poor Website,0,Pro,18,18,1736,209.21,6,ariwijaya46117@gmail.com,0813550838
38,M,UE038UL,Town,15-01-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Fiber_Optic,2:22:08,2,431.15,63145.8,2,705.18,Yes,No,Yes,Solved,Quality Customer Care,0,Pro,20,17,2338,498.53,7,linajackson19193@yahoo.com,0821754490838
10,M,QTQY029,City,31-05-2017,Yes,CID33039,Gift Vouchers/Coupons,Smartphone,Wi-Fi,2:05:55,22,32.58,10681.02,13,765.04,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,0,Pro,39,30,2233,1011.4,0,indahsetiawan96634@yahoo.com,0882907793
52,M,XIUGZ35,Town,15-06-2016,Yes,CID15853,Gift Vouchers/Coupons,Smartphone,Mobile_Data,10:40:32,7,996.1,33035.76,7,1003.045858,Yes,Yes,Yes,No Information Available,Poor Customer Service,1,Pro,27,22,1963,614.14,0,hendraastuti58428@gmail.com,08828463751
44,M,BC9XV6K,,28-08-2016,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,10:01:09,18,262.77,39669.88,26,592.19,Yes,No,No,Not Applicable,Poor Product Quality,1,Basic,14,14,269,281.31,8,lisaprasetyo19082@gmail.com,0896134466798
21,F,1OZPI5J,Town,10-02-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,4:47:06,17,167.24,43130.08,16,717.87,No,Yes,Yes,Solved,Poor Customer Service,0,Basic,13,13,311,339.1,14,aguskartika80513@gmail.com,0812800886
10,F,DU6S6C7,Town,06-02-2015,Yes,CID40378,Without Offers,Desktop,Fiber_Optic,22:41:40,17,860.4,45593.98,7,,No,Yes,No,Not Applicable,No reason specified,0,Pro,32,26,1410,766.97,2,rudimiller65023@gmail.com,0811257524
47,F,OMZ23VM,City,02-08-2017,Yes,CID40392,Gift Vouchers/Coupons,Smartphone,Wi-Fi,20:56:44,9,53.41,63939.47,17,798.98,No,Yes,Yes,No Information Available,Quality Customer Care,0,Pro,18,15,1623,203.23,0,juliarodriguez60902@gmail.com,082175347463
28,M,JANCKZS,Town,28-10-2017,Yes,CID28671,Credit/Debit Card Offers,Desktop,Wi-Fi,15:17:35,11,34.02,8079.77,29,766.86,Yes,No,Yes,No Information Available,Poor Customer Service,0,Pro,29,22,1572,833.52,3,sarifauzi41148@gmail.com,0812676526
31,M,QVYM1ZJ,Town,01-12-2016,Yes,CID55288,Credit/Debit Card Offers,Smartphone,Wi-Fi,8:31:09,11,865.2477441,82273.01,1,704.62,Yes,No,Yes,Solved,Reasonable Price,0,Enterprise,39,30,6316,849.17,1,rudiwati37051@yahoo.com,0853622004
34,M,ANN433W,City,16-09-2017,Yes,CID32659,Without Offers,Desktop,Wi-Fi,16:11:45,19,116.82,39319.61,27,606.05,No,Yes,Yes,Solved,No reason specified,0,Basic,10,10,304,215.53,5,ditajohnson97651@gmail.com,08122207649
53,M,TK7HQ4T,Town,06-05-2015,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,13:27:37,6,-840.3908995,10368.02,6,644.67,No,Yes,No,Not Applicable,Poor Product Quality,1,Basic,10,9,281,230.1,5,mariapurnama83568@yahoo.com,0852904320889
63,F,X8W506L,Town,07-09-2016,Yes,CID55143,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,22:14:36,12,34.35,28084.64,5,607.52,No,Yes,Yes,No Information Available,No reason specified,1,Pro,27,22,1448,436.21,1,tarimahendra65840@yahoo.com,0812966821685
29,F,6LXHXCF,Town,18-06-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,8:18:36,14,182.06,25005.9,21,1017.489245,No,Yes,Yes,Unsolved,Poor Product Quality,1,Basic,9,9,325,195.56,0,dwifauzi17885@yahoo.com,087846190924
34,F,7PK0CAI,,29-04-2015,Yes,CID50447,Without Offers,?,Fiber_Optic,14:24:19,10,604.43,4403.7,5,641.5,Yes,Yes,Yes,Solved,No reason specified,1,Basic,13,13,462,365.28,3,juliamartinez94891@gmail.com,08951672466
19,F,LIYMQVQ,,19-06-2016,No,xxxxxxxx,Without Offers,?,Mobile_Data,2:00:52,26,392.47,43905.33,Error,723.61,No,Yes,No,Not Applicable,Too many ads,0,Enterprise,25,21,6689,342.01,9,nitakusuma41500@gmail.com,081150178194
30,F,KBF1RMY,Town,15-10-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,21:55:17,7,322.4,12217.16,14,771.74,Yes,No,No,Not Applicable,Too many ads,0,Enterprise,39,31,12371,895.38,0,emmanugroho66533@gmail.com,08781340321
37,M,2XJKKFM,Town,14-03-2017,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,10:23:23,6,145.45,26744.56,Error,715.44,Yes,No,Yes,No Information Available,Poor Customer Service,1,Pro,36,30,1908,871.06,0,budiwibowo568@gmail.com,0822710870
58,F,WTIATAN,,26-06-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,18:33:44,9,227.97,49959.27,27,652.22,Yes,No,No,Not Applicable,Poor Website,0,Basic,17,17,372,490.08,7,davidramadhan20233@yahoo.com,081201950526
25,M,S5EWJTR,City,16-11-2015,Yes,CID37584,Gift Vouchers/Coupons,Smartphone,Mobile_Data,21:33:59,13,65.25,6111.88,13,744.9,Yes,No,Yes,Unsolved,No reason specified,0,Pro,33,25,1630,824.82,0,dwikurniawan2800@gmail.com,0813426535341
62,F,PS2SEQN,Village,17-11-2017,Yes,CID16616,Gift Vouchers/Coupons,Desktop,Fiber_Optic,16:21:31,12,30.4,10441.84,13,544.5,Yes,No,No,Not Applicable,Poor Product Quality,1,Basic,12,11,314,170.37,4,diansetiawan56824@yahoo.com,085201233248
32,M,XZETKXY,Town,03-04-2017,Yes,CID43452,Credit/Debit Card Offers,Smartphone,Wi-Fi,13:28:40,11,31.06,4803.35,21,615.61,Yes,No,Yes,Solved,Poor Website,1,Basic,12,12,293,280.74,1,ninahandayani31034@yahoo.com,08127254914
58,F,BO5NMIW,Town,10-03-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,4:20:23,5,34.89,8730.21,Error,678.08,No,Yes,No,Not Applicable,No reason specified,1,Basic,7,7,414,119.7,19,megaanderson36141@yahoo.com,0858992949656
56,F,IDGX6HS,City,28-11-2015,Yes,CID974,Credit/Debit Card Offers,?,Wi-Fi,4:53:01,25,90.67,39446.66,-4.770058647,684.76,No,Yes,No,Not Applicable,Poor Customer Service,1,Basic,8,8,281,116.39,15,chrisjones25413@yahoo.com,08139624539
34,F,8ZXT865,Village,10-05-2017,Yes,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,13:57:38,16,112.79,47436.24,22,725.02,No,Yes,Yes,Unsolved,Poor Product Quality,0,Pro,36,29,1822,798.47,0,indrawibowo25163@yahoo.com,0812221405732
